index	word	definition	label
0	multiplied	an electronic device that receives television signals and displays them on a screen	0
1	tailwind	the body of laws created by legislative statutes	0
2	bolshevize	a plant that tends to climb and on occasion can grow like a vine	0
3	plumbic	any of a class of plant hormones that promote cell division and delay the senescence of leaves	0
4	liter	a metric unit of capacity equal to the volume of 1 kilogram of pure water at 4 degrees centigrade and 760 mm of mercury (or approximately 1.76 pints)	1
5	authenticated	established as genuine	1
6	funk	shrubby tree of China and Japan	0
7	varying	a semiaquatic plant that grows in soft wet land; most are monocots: sedge, sphagnum, grasses, cattails, etc; possibly heath	0
8	upwards	spatially or metaphorically from a lower to a higher position	1
9	outraged	a fungus with a long coarsely shaggy reticulate stalk and a rimose areolate cap surface	0
10	redhorse	North American sucker with reddish fins	1
11	sower	someone who sows	1
12	trichloride	any compound containing three chlorine atoms in each molecule	1
13	reelection	election again	1
14	dorsoventrally	stubbornly conservative and narrow-minded	0
15	starkers	the fashionable elite	0
16	catechize	chiefly but not exclusively terrestrial	0
17	enfolding	the action of enfolding something	1
18	chromaticity	coarse weedy American perennial herb with large usually perfoliate leaves and purple or dull red flowers	0
19	snobbism	family of bristly hairy sometimes climbing plants; America and Africa and southern Arabia	0
20	slippered	the quality or nature of being harmful or evil	0
21	lividness	unnatural lack of color in the skin (as from bruising or sickness or emotional distress)	1
22	gristle	type genus of the Rutaceae; strong-scented Eurasian herbs	0
23	earlap	softly hairy South African herb having flowers with bright blue rays	0
24	viscountess	a noblewoman holding the rank of viscount in her own right	1
25	stably	in a stable solid fixed manner	1
26	autobiography	the head of the Roman Catholic Church	0
27	obtainable	memory disorder seen in middle aged and elderly persons; characterized by an episode of amnesia and bewilderment that lasts for several hours; person is otherwise alert and intellectually active	0
28	trilobate	of a leaf shape; divided into three lobes	1
29	loud	characterized by or producing sound of great volume or intensity	1
30	pilosity	type genus of the Mylodontidae; sometimes included in family Megatheriidae	0
31	dexterity	radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays	0
32	even	a slime mold of the class Myxomycetes	0
33	kegful	a small pan or cup (usually of tin)	0
34	sheepwalk	memory for intermediate results that must be held during thinking	0
35	drearily	in a cheerless manner	1
36	behaviourism	a deliberately haphazard arrangement of observations so as to simulate chance	0
37	counterculture	a culture with lifestyles and values opposed to those of the established culture	1
38	wiliness	shrewdness as demonstrated by being skilled in deception	1
39	viewgraph	a transparency for use with an overhead projector	1
40	tideland	proceeding with full vigor	0
41	cybersex	sexual arousal involving communication on the internet	1
42	cannibal	a building where animals are butchered	0
43	stragglingly	in a ragged irregular manner	1
44	clumping	the sound of a horse's hoofs hitting on a hard surface	1
45	terseness	a neatly short and concise expressive style	1
46	nailbrush	a brush used to clean a person's fingernails	1
47	nugget	a book containing a classified list of synonyms	0
48	according	(followed by `to') in agreement with or accordant with	1
49	preceptor	in some classifications considered a genus of subfamily Melinae	0
50	concessioner	someone who holds or operates a concession	1
51	karyoplasm	a canon in which the entrances of successive parts were indicated by cryptic symbols and devices (popular in the 15th and 16th centuries)	0
52	shareholder	raccoon dogs	0
53	rehash	go back over	1
54	hectare	(abbreviated `ha') a unit of surface area equal to 100 ares (or 10,000 square meters)	1
55	chary	normal reflex consisting of retching; may be produced by touching the soft palate in the back of the mouth	0
56	surrogate	the quality of being changeable; having a marked tendency to change	0
57	occlusion	a control character that indicates moving a space to the left	0
58	away	(economics) the principle that when two kinds of money having the same denominational value are in circulation the intrinsically more valuable money will be hoarded and the money of lower intrinsic value will circulate more freely until the intrinsically more valuable money is driven out of circulation; bad money drives out good; credited to Sir Thomas Gresham	0
59	combustive	a copper salt made by the action of sulfuric acid on copper oxide	0
60	haematogenesis	the formation of blood cells in the living body (especially in the bone marrow)	1
61	mournful	arrangement of events in time	0
62	electorate	the body of enfranchised citizens; those qualified to vote	1
63	friskily	goose barnacles	0
64	imminentness	tropical American bean with red flowers and mottled black beans similar to Phaseolus vulgaris but perennial; a preferred food bean in Great Britain	0
65	ferricyanide	discontinuing the meetings (of a legislative body) without dissolving it	0
66	proudly	in a proud manner	1
67	suck	shaped like a basket	0
68	wreck	something or someone that has suffered ruin or dilapidation	1
69	filmmaker	someone who rejects the established culture; advocates extreme liberalism in politics and lifestyle	0
70	casket	box in which a corpse is buried or cremated	1
71	expansion	the act of increasing (something) in size or volume or quantity or scope	1
72	plantlet	a young plant or a small plant	1
73	responsibly	in a responsible manner	1
74	limner	a Jew who is of Spanish or Portuguese or North African descent	0
75	vertically	in a vertical direction	1
76	hygroscope	hygrometer that shows variations in the relative humidity of the atmosphere	1
77	penalise	single faucet for separate hot and cold water pipes	0
78	grotesquery	of or relating to the aorta	0
79	whipsaw	victimize, especially in gambling or negotiations	1
80	muteness	belonging to a group below humans in evolutionary development	0
81	neckcloth	an ornamental white cravat	1
82	bedframe	capable of being annulled or voided or terminated	0
83	splashboard	an automotive vehicle suitable for hauling	0
84	reveler	of plants that bloom during the spring	0
85	nosed	mouselike jumping rodent	0
86	gondolier	a (Venetian) boatman who propels a gondola	1
87	matchbook	a small folder of paper safety matches	1
88	squealer	any membrane that functions for the protection or nourishment or respiration or excretion of a developing fetus	0
89	oxygenase	an oxidoreductase that catalyzes the incorporation of molecular oxygen	1
90	ichorous	an Irish breed with a chestnut-brown or mahogany-red coat	0
91	trusty	a speech of violent denunciation	0
92	lymphatic	closely and firmly integrated	0
93	contentious	adherence or attachment to a monarchy or to the principle of monarchal government	0
94	funfair	a traveling show; having sideshows and rides and games of skill etc.	1
95	central	a deliquescent salt; used in de-icing and as a drying agent	0
96	foil	cover or back with foil	1
97	spelldown	a contest in which you are eliminated if you fail to spell a word correctly	1
