index	word	morphology	label
0	queens	inflection	1
1	nuances	inflection	1
2	frustrations	inflection	1
3	stereotypes	inflection	1
4	seizures	inflection	1
5	conferred	inflection	1
6	planting	inflection	1
7	hindered	inflection	1
8	crashing	inflection	1
9	enzymes	inflection	1
10	rigs	inflection	1
11	vacations	inflection	1
12	difficulties	inflection	1
13	windows	inflection	1
14	graphs	inflection	1
15	unrestricted	inflection	1
16	seconds	inflection	1
17	processed	inflection	1
18	ceases	inflection	1
19	mourning	inflection	1
20	tonnes	inflection	1
21	favourites	inflection	1
22	washing	inflection	1
23	gems	inflection	1
24	ailments	inflection	1
25	named	inflection	1
26	sums	inflection	1
27	indexed	inflection	1
28	coded	inflection	1
29	columns	inflection	1
30	instituted	inflection	1
31	sandwiches	inflection	1
32	tragedies	inflection	1
33	scars	inflection	1
34	televised	inflection	1
35	questioning	inflection	1
36	wiping	inflection	1
37	modifiers	inflection	1
38	issued	inflection	1
39	exiled	inflection	1
40	parsing	inflection	1
41	searches	inflection	1
42	skeptics	inflection	1
43	tenets	inflection	1
44	hanging	inflection	1
45	basics	inflection	1
46	roles	inflection	1
47	prevailing	inflection	1
48	pioneered	inflection	1
49	predictions	inflection	1
50	taps	inflection	1
51	broken	inflection	1
52	scored	inflection	1
53	premiered	inflection	1
54	closing	inflection	1
55	graduated	inflection	1
56	trusting	inflection	1
57	banned	inflection	1
58	treating	inflection	1
59	preserves	inflection	1
60	improvised	inflection	1
61	analyzed	inflection	1
62	lights	inflection	1
63	contributed	inflection	1
64	construed	inflection	1
65	obligations	inflection	1
66	knives	inflection	1
67	distinctions	inflection	1
68	dwindling	inflection	1
69	bred	inflection	1
70	camps	inflection	1
71	Canucks	inflection	1
72	classes	inflection	1
73	cancers	inflection	1
74	peoples	inflection	1
75	flyers	inflection	1
76	disciples	inflection	1
77	philos	inflection	1
78	channels	inflection	1
79	expanding	inflection	1
80	occurring	inflection	1
81	boats	inflection	1
82	glued	inflection	1
83	taken	inflection	1
84	roses	inflection	1
85	liberating	inflection	1
86	fences	inflection	1
87	flourishing	inflection	1
88	celebrates	inflection	1
89	chemicals	inflection	1
90	swelling	inflection	1
91	continuing	inflection	1
92	branded	inflection	1
93	compressed	inflection	1
94	halves	inflection	1
95	stripping	inflection	1
96	composed	inflection	1
97	floors	inflection	1
98	doping	inflection	1
99	contacted	inflection	1
100	corpses	inflection	1
101	redacted	inflection	1
102	gathering	inflection	1
103	clues	inflection	1
104	hypotheses	inflection	1
105	cars	inflection	1
106	troopers	inflection	1
107	controls	inflection	1
108	deceived	inflection	1
109	governed	inflection	1
110	represents	inflection	1
111	bits	inflection	1
112	hosting	inflection	1
113	emerged	inflection	1
114	shoulders	inflection	1
115	circles	inflection	1
116	items	inflection	1
117	households	inflection	1
118	filtering	inflection	1
119	weeds	inflection	1
120	computing	inflection	1
121	fielding	inflection	1
122	diminished	inflection	1
123	wrongdoing	inflection	1
124	ordained	inflection	1
125	armies	inflection	1
126	scans	inflection	1
127	ordering	inflection	1
128	offers	inflection	1
129	reverted	inflection	1
130	urges	inflection	1
131	beginners	inflection	1
132	scrambled	inflection	1
133	alleging	inflection	1
134	anarchists	inflection	1
135	flattened	inflection	1
136	employing	inflection	1
137	peasants	inflection	1
138	evidenced	inflection	1
139	unaffected	inflection	1
140	attempted	inflection	1
141	exists	inflection	1
142	deploying	inflection	1
143	neighbours	inflection	1
144	markers	inflection	1
145	breathed	inflection	1
146	customers	inflection	1
147	pacing	inflection	1
148	tides	inflection	1
149	profiles	inflection	1
150	managing	inflection	1
151	shaped	inflection	1
152	growing	inflection	1
153	unsolved	inflection	1
154	restores	inflection	1
155	plagued	inflection	1
156	retreated	inflection	1
157	presenting	inflection	1
158	vegetables	inflection	1
159	pursuits	inflection	1
160	gathers	inflection	1
161	corrupted	inflection	1
162	philosophers	inflection	1
163	racing	inflection	1
164	startled	inflection	1
165	refuted	inflection	1
166	burns	inflection	1
167	depths	inflection	1
168	taller	inflection	1
169	extends	inflection	1
170	selecting	inflection	1
171	exports	inflection	1
172	commentators	inflection	1
173	uploading	inflection	1
174	rewards	inflection	1
175	asserts	inflection	1
176	optimized	inflection	1
177	disasters	inflection	1
178	whispered	inflection	1
179	vulnerabilities	inflection	1
180	ants	inflection	1
181	jewels	inflection	1
182	deadlines	inflection	1
183	flashed	inflection	1
184	denominations	inflection	1
185	embedded	inflection	1
186	stirred	inflection	1
187	bids	inflection	1
188	diseases	inflection	1
189	mapping	inflection	1
190	attributes	inflection	1
191	sweating	inflection	1
192	ancestors	inflection	1
193	breeds	inflection	1
194	amended	inflection	1
195	puzzles	inflection	1
196	engulfed	inflection	1
197	helped	inflection	1
198	settings	inflection	1
199	warns	inflection	1
200	lakes	inflection	1
201	untreated	inflection	1
202	clicks	inflection	1
203	proves	inflection	1
204	smugglers	inflection	1
205	themes	inflection	1
206	humiliated	inflection	1
207	constitutes	inflection	1
208	feels	inflection	1
209	apologized	inflection	1
210	teenagers	inflection	1
211	salaries	inflection	1
212	grinned	inflection	1
213	priced	inflection	1
214	learns	inflection	1
215	regulating	inflection	1
216	contributes	inflection	1
217	revealed	inflection	1
218	drowned	inflection	1
219	humanities	inflection	1
220	waged	inflection	1
221	listening	inflection	1
222	inclined	inflection	1
223	icons	inflection	1
224	counting	inflection	1
225	chapters	inflection	1
226	rewriting	inflection	1
227	assailants	inflection	1
228	shocks	inflection	1
229	counselling	inflection	1
230	indebted	inflection	1
231	residing	inflection	1
232	cells	inflection	1
233	chalks	inflection	1
234	militarists	inflection	1
235	ombuds	inflection	1
236	quaves	inflection	1
237	poos	inflection	1
238	potsies	inflection	1
239	dushes	inflection	1
240	interplaced	inflection	1
241	morbidities	inflection	1
242	mentalisations	inflection	1
243	sedimenting	inflection	1
244	phonecards	inflection	1
245	magnetites	inflection	1
246	polluticians	inflection	1
247	imaginaries	inflection	1
248	overshaped	inflection	1
249	refueled	inflection	1
250	tunks	inflection	1
251	renditioning	inflection	1
252	Sherlocks	inflection	1
253	lyams	inflection	1
254	tenderer	inflection	1
255	relicensed	inflection	1
256	proletarianising	inflection	1
257	differentiating	inflection	1
258	retesting	inflection	1
259	uniformised	inflection	1
260	polts	inflection	1
261	wallows	inflection	1
262	unbows	inflection	1
263	poetizers	inflection	1
264	carexes	inflection	1
265	bolks	inflection	1
266	portases	inflection	1
267	screeched	inflection	1
268	deeches	inflection	1
269	blonded	inflection	1
270	seasonalities	inflection	1
271	janneys	inflection	1
272	dyeings	inflection	1
273	easternising	inflection	1
